UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
duo1 1 1 1670857696704 1670857696700 138 540 760 510 0 0
duo1 1 1 1670857696709 1670857696705 138 540 760 510 0 0
duo1 1 1 1670857696715 1670857696715 138 541 750 530 0 0
duo1 1 1 1670857696720 1670857696720 139 542 750 530 0 0
duo1 1 1 1670857696726 1670857696725 139 542 740 560 0 0
duo1 1 1 1670857696732 1670857696730 139 544 740 580 0 0
duo1 1 1 1670857696737 1670857696735 139 544 730 590 0 0
duo1 1 1 1670857696743 1670857696740 139 544 720 610 0 0
duo1 1 1 1670857696749 1670857696745 139 544 710 630 0 0
duo1 1 1 1670857696754 1670857696750 139 544 700 640 0 0
duo1 1 1 1670857696760 1670857696760 139 545 690 650 0 0
duo1 1 1 1670857696765 1670857696765 139 545 680 660 0 0
duo1 1 1 1670857696772 1670857696770 139 546 670 680 0 0
duo1 1 1 1670857696776 1670857696775 139 546 670 680 0 0
duo1 1 1 1670857696782 1670857696780 139 546 670 690 0 0
duo1 1 1 1670857696787 1670857696785 139 546 670 690 0 0
duo1 1 1 1670857696792 1670857696790 139 546 660 700 0 0
duo1 1 1 1670857696799 1670857696795 138 546 660 700 0 0
duo1 1 1 1670857696804 1670857696800 138 546 650 670 0 0
duo1 1 1 1670857696809 1670857696805 138 545 640 680 0 0
duo1 1 1 1670857696815 1670857696815 138 545 640 680 0 0
duo1 1 1 1670857696820 1670857696820 138 545 640 680 0 0
duo1 1 1 1670857696826 1670857696825 137 544 640 690 0 0
duo1 1 1 1670857696832 1670857696830 137 544 640 690 0 0
duo1 1 1 1670857696837 1670857696835 137 544 640 690 0 0
duo1 1 1 1670857696842 1670857696840 136 543 640 690 0 0
duo1 1 1 1670857696848 1670857696845 136 543 640 690 0 0
duo1 1 1 1670857696854 1670857696850 135 542 640 690 0 0
duo1 1 1 1670857696859 1670857696855 134 542 640 690 0 0
duo1 1 1 1670857696866 1670857696865 133 541 640 690 0 0
duo1 1 1 1670857696870 1670857696870 132 540 640 690 0 0
duo1 1 1 1670857696876 1670857696875 131 539 640 690 0 0
duo1 1 1 1670857696882 1670857696880 130 537 640 690 0 0
duo1 1 1 1670857696887 1670857696885 129 536 640 710 0 0
duo1 1 1 1670857696892 1670857696890 129 535 640 710 0 0
duo1 1 1 1670857696900 1670857696900 128 534 640 710 0 0
duo1 1 1 1670857696904 1670857696900 127 533 630 720 0 0
duo1 1 1 1670857696910 1670857696910 126 532 630 720 0 0
duo1 1 1 1670857696916 1670857696915 126 532 630 720 0 0
duo1 1 1 1670857696920 1670857696920 125 531 630 720 0 0
duo1 1 1 1670857696926 1670857696925 124 531 630 720 0 0
duo1 1 1 1670857696933 1670857696930 123 531 620 750 0 0
duo1 1 1 1670857696937 1670857696935 123 531 620 750 0 0
duo1 1 1 1670857696944 1670857696940 122 530 620 750 0 0
duo1 1 1 1670857696949 1670857696945 121 530 620 750 0 0
duo1 1 1 1670857696954 1670857696950 121 530 620 750 0 0
duo1 1 1 1670857696959 1670857696955 120 530 620 750 0 0
duo1 1 1 1670857696966 1670857696965 120 530 620 750 0 0
duo1 1 1 1670857696970 1670857696970 119 531 620 750 0 0
duo1 1 1 1670857696976 1670857696975 119 531 620 750 0 0
duo1 1 1 1670857696982 1670857696980 118 531 620 750 0 0
duo1 1 1 1670857696987 1670857696985 118 532 620 750 0 0
duo1 1 1 1670857696993 1670857696990 118 532 620 750 0 0
duo1 1 1 1670857696999 1670857696995 117 532 620 750 0 0
duo1 1 1 1670857697004 1670857697000 117 533 620 750 0 0
duo1 1 1 1670857697009 1670857697005 116 533 620 750 0 0
duo1 1 1 1670857697015 1670857697015 116 534 620 750 0 0
duo1 1 1 1670857697020 1670857697020 115 534 620 750 0 0
duo1 1 1 1670857697026 1670857697025 115 534 620 750 0 0
duo1 1 1 1670857697032 1670857697030 114 535 620 750 0 0
duo1 1 1 1670857697038 1670857697035 114 535 620 750 0 0
duo1 1 1 1670857697042 1670857697040 113 535 610 750 0 0
duo1 1 1 1670857697049 1670857697045 113 535 610 750 0 0
duo1 1 1 1670857697059 1670857697055 112 536 610 750 0 0
duo1 1 1 1670857697061 1670857697060 112 536 610 750 0 0
duo1 1 1 1670857697065 1670857697065 111 537 610 750 0 0
duo1 1 1 1670857697071 1670857697070 110 538 610 750 0 306
duo1 1 1 1670857697077 1670857697075 110 538 610 750 0 306
duo1 1 1 1670857697082 1670857697080 110 538 610 750 0 456
duo1 1 1 1670857697087 1670857697085 110 538 610 750 0 512
duo1 1 1 1670857697092 1670857697090 110 538 610 750 0 560
duo1 1 1 1670857697099 1670857697095 110 538 610 750 0 603
duo1 1 1 1670857697104 1670857697100 110 538 610 750 0 638
duo1 1 1 1670857697109 1670857697105 110 538 610 750 0 665
duo1 1 1 1670857697116 1670857697115 111 548 620 730 0 686
duo1 1 1 1670857697121 1670857697120 113 548 620 730 0 704
duo1 1 1 1670857697135 1670857697135 117 548 620 730 0 718
duo1 1 1 1670857697136 1670857697135 121 548 620 730 0 726
duo1 1 1 1670857697138 1670857697135 126 547 620 730 0 729
duo1 1 1 1670857697144 1670857697140 130 545 620 730 0 729
duo1 1 1 1670857697150 1670857697150 135 544 620 730 0 729
duo1 1 1 1670857697156 1670857697155 140 542 620 730 0 722
duo1 1 1 1670857697169 1670857697165 145 541 620 750 0 703
duo1 1 1 1670857697171 1670857697170 150 539 620 750 0 671
duo1 1 1 1670857697172 1670857697170 154 538 620 750 0 641
duo1 1 1 1670857697177 1670857697175 158 537 620 750 0 594
duo1 1 1 1670857697188 1670857697185 162 535 620 750 0 513
duo1 1 1 1670857697189 1670857697185 164 534 620 750 0 400
duo1 1 1 1670857697194 1670857697190 166 533 620 750 0 175
duo1 1 1 1670857697204 1670857697200 166 533 620 750 0 0
duo1 1 1 1670857697206 1670857697205 167 533 620 750 0 0
duo1 1 1 1670857697209 1670857697205 167 534 620 750 0 0
duo1 1 1 1670857697215 1670857697215 166 535 630 740 0 0
duo1 1 1 1670857697220 1670857697220 164 535 630 740 0 0
duo1 1 1 1670857697226 1670857697225 163 536 630 740 0 0
duo1 1 1 1670857697232 1670857697230 162 537 630 740 0 0
duo1 1 1 1670857697238 1670857697235 160 538 630 740 0 0
duo1 1 1 1670857697242 1670857697240 159 539 630 740 0 0
duo1 1 1 1670857697249 1670857697245 157 540 630 740 0 0
duo1 1 1 1670857697254 1670857697250 156 541 630 740 0 0
duo1 1 1 1670857697259 1670857697255 155 543 630 740 0 0
duo1 1 1 1670857697265 1670857697265 153 544 630 740 0 0
duo1 1 1 1670857697270 1670857697270 152 544 630 740 0 0
duo1 1 1 1670857697276 1670857697275 151 545 630 740 0 0
duo1 1 1 1670857697282 1670857697280 150 545 630 740 0 0
duo1 1 1 1670857697287 1670857697285 148 546 630 740 0 0
duo1 1 1 1670857697292 1670857697290 147 546 630 740 0 0
duo1 1 1 1670857697298 1670857697295 146 546 630 740 0 0
duo1 1 1 1670857697304 1670857697300 144 547 630 740 0 0
duo1 1 1 1670857697309 1670857697305 143 548 630 740 0 0
duo1 1 1 1670857697315 1670857697315 143 548 630 740 0 0
duo1 1 1 1670857697320 1670857697320 142 549 630 740 0 0
duo1 1 1 1670857697326 1670857697325 142 550 630 740 0 0
duo1 1 1 1670857697332 1670857697330 142 550 630 740 0 0
duo1 1 1 1670857697337 1670857697335 142 550 630 740 0 0
duo1 1 1 1670857697343 1670857697340 142 550 630 740 0 0
duo1 1 1 1670857697350 1670857697350 142 550 630 740 0 0
duo1 1 1 1670857697354 1670857697350 142 550 630 740 0 0
duo1 1 1 1670857697359 1670857697355 142 550 630 740 0 0
duo1 1 1 1670857697365 1670857697365 143 549 620 750 0 0
duo1 1 1 1670857697370 1670857697370 143 549 620 750 0 0
duo1 1 1 1670857697376 1670857697375 144 549 620 750 0 0
duo1 1 1 1670857697382 1670857697380 145 548 620 750 0 0
duo1 1 1 1670857697387 1670857697385 145 549 620 750 0 0
duo1 1 1 1670857697399 1670857697395 145 550 620 750 0 0
duo1 1 1 1670857697400 1670857697400 145 552 620 750 0 0
duo1 1 1 1670857697404 1670857697400 144 556 610 750 0 0
duo1 1 1 1670857697409 1670857697405 142 561 610 750 0 468
duo1 1 1 1670857697415 1670857697415 142 561 610 750 0 468
duo1 1 1 1670857697420 1670857697420 142 561 610 750 0 557
duo1 1 1 1670857697426 1670857697425 142 561 620 750 0 585
duo1 1 1 1670857697432 1670857697430 142 561 620 750 0 602
duo1 1 1 1670857697437 1670857697435 142 561 620 730 0 609
duo1 1 1 1670857697442 1670857697440 142 561 620 730 0 611
duo1 1 1 1670857697449 1670857697445 142 561 620 730 0 610
duo1 1 1 1670857697454 1670857697450 142 561 620 710 0 610
duo1 1 1 1670857697459 1670857697455 142 561 620 710 0 597
duo1 1 1 1670857697466 1670857697465 138 615 620 710 0 551
duo1 1 1 1670857697471 1670857697470 139 615 610 690 0 468
duo1 1 1 1670857697477 1670857697475 139 615 610 690 0 286
duo1 1 1 1670857697482 1670857697480 139 615 620 680 0 0
duo1 1 1 1670857697487 1670857697485 139 614 620 660 0 0
duo1 1 1 1670857697492 1670857697490 139 614 620 660 0 0
duo1 1 1 1670857697499 1670857697495 139 613 630 650 0 0
duo1 1 1 1670857697504 1670857697500 138 612 630 650 0 0
duo1 1 1 1670857697509 1670857697505 139 610 640 640 0 0
duo1 1 1 1670857697515 1670857697515 140 608 650 630 0 0
duo1 1 1 1670857697520 1670857697520 142 605 650 620 0 0
duo1 1 1 1670857697526 1670857697525 145 602 660 610 0 0
duo1 1 1 1670857697532 1670857697530 148 599 670 630 0 0
duo1 1 1 1670857697537 1670857697535 152 595 680 620 0 0
duo1 1 1 1670857697542 1670857697540 157 591 680 610 0 0
duo1 1 1 1670857697549 1670857697545 162 588 690 590 0 0
duo1 1 1 1670857697554 1670857697550 167 585 710 560 0 0
duo1 1 1 1670857697560 1670857697560 172 583 720 540 0 0
duo1 1 1 1670857697566 1670857697565 178 581 730 550 0 0
duo1 1 1 1670857697571 1670857697570 184 581 740 530 0 0
duo1 1 1 1670857697576 1670857697575 188 582 750 500 0 0
duo1 1 1 1670857697583 1670857697580 192 582 760 510 0 0
duo1 1 1 1670857697587 1670857697585 195 584 760 510 0 0
duo1 1 1 1670857697593 1670857697590 198 582 770 480 0 0
duo1 1 1 1670857697599 1670857697595 200 581 780 480 0 0
duo1 1 1 1670857697604 1670857697600 201 581 780 480 0 0
duo1 1 1 1670857697609 1670857697605 201 582 780 480 0 0
duo1 1 1 1670857697615 1670857697615 200 584 780 480 0 0
duo1 1 1 1670857697621 1670857697620 199 587 770 450 0 0
duo1 1 1 1670857697626 1670857697625 200 590 770 450 0 0
duo1 1 1 1670857697632 1670857697630 200 593 770 450 0 0
duo1 1 1 1670857697637 1670857697635 199 595 770 480 0 0
duo1 1 1 1670857697642 1670857697640 197 596 770 480 0 0
duo1 1 1 1670857697648 1670857697645 194 597 760 510 0 0
duo1 1 1 1670857697654 1670857697650 190 597 750 530 0 0
duo1 1 1 1670857697659 1670857697655 188 597 740 560 0 0
duo1 1 1 1670857697665 1670857697665 186 597 740 580 0 0
duo1 1 1 1670857697671 1670857697670 183 597 720 610 0 0
duo1 1 1 1670857697676 1670857697675 181 598 710 630 0 0
duo1 1 1 1670857697682 1670857697680 179 598 700 640 0 0
duo1 1 1 1670857697687 1670857697685 177 597 690 650 0 0
duo1 1 1 1670857697692 1670857697690 175 596 680 660 0 0
