TimeStamps penX penY orAltitude orAzimuth orTwist pressure
1669004534749 1063 934 650 900 0 0
1669004534755 1054 933 650 900 0 0
1669004534760 1044 931 650 900 0 0
1669004534766 1033 928 650 900 0 0
1669004534772 1022 924 650 900 0 0
1669004534776 1009 919 650 900 0 0
1669004534783 995 914 650 900 0 0
1669004534788 981 908 650 920 0 0
1669004534793 967 901 640 920 0 0
1669004534800 953 894 640 920 0 0
1669004534805 940 887 640 920 0 0
1669004534811 928 880 640 920 0 0
1669004534816 918 874 630 940 0 0
1669004534821 909 867 630 940 0 0
1669004534826 902 862 630 940 0 0
1669004534833 898 857 630 960 0 0
1669004534838 896 853 620 960 0 0
1669004534843 896 850 620 960 0 0
1669004534850 897 848 620 970 0 0
1669004534861 899 848 610 970 0 0
1669004534862 900 848 610 970 0 0
1669004534866 901 850 610 990 0 0
1669004534871 902 853 600 990 0 362
1669004534876 902 853 600 990 0 362
1669004534883 902 853 600 990 0 385
1669004534889 902 853 600 990 0 385
1669004534893 902 853 600 990 0 385
1669004534900 902 853 600 990 0 385
1669004534905 902 853 600 970 0 384
1669004534910 902 853 600 970 0 385
1669004534916 902 853 600 970 0 385
1669004534921 902 853 600 950 0 391
1669004534927 927 971 600 950 0 404
1669004534934 928 987 600 950 0 415
1669004534938 929 1004 600 930 0 420
1669004534944 929 1019 600 930 0 421
1669004534949 929 1032 600 920 0 424
1669004534956 928 1043 600 920 0 424
1669004534960 927 1052 600 900 0 424
1669004534966 926 1060 600 900 0 425
1669004534971 924 1065 600 900 0 426
1669004534977 921 1069 600 900 0 425
1669004534983 917 1072 600 900 0 415
1669004534988 913 1074 600 900 0 404
1669004534993 908 1074 600 900 0 393
1669004535000 902 1074 600 880 0 382
1669004535004 897 1074 600 880 0 385
1669004535011 891 1072 600 880 0 386
1669004535016 886 1070 600 880 0 385
1669004535021 881 1068 600 880 0 385
1669004535026 878 1065 600 880 0 385
1669004535033 875 1061 600 880 0 390
1669004535038 872 1058 590 880 0 393
