UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
siyi2 2 1 1670860099616 1670860099615 238 519 660 990 0 0
siyi2 2 1 1670860099622 1670860099620 238 518 660 990 0 0
siyi2 2 1 1670860099627 1670860099625 238 516 650 990 0 0
siyi2 2 1 1670860099633 1670860099630 239 516 650 990 0 0
siyi2 2 1 1670860099638 1670860099635 239 514 640 980 0 0
siyi2 2 1 1670860099644 1670860099640 241 513 640 980 0 0
siyi2 2 1 1670860099650 1670860099650 242 513 630 980 0 0
siyi2 2 1 1670860099656 1670860099655 244 513 630 980 0 0
siyi2 2 1 1670860099660 1670860099660 245 513 620 970 0 0
siyi2 2 1 1670860099667 1670860099665 247 513 620 970 0 0
siyi2 2 1 1670860099672 1670860099670 248 513 620 970 0 0
siyi2 2 1 1670860099677 1670860099675 248 513 610 970 0 0
siyi2 2 1 1670860099683 1670860099680 249 513 610 970 0 0
siyi2 2 1 1670860099689 1670860099685 250 512 610 970 0 0
siyi2 2 1 1670860099694 1670860099690 250 512 600 970 0 0
siyi2 2 1 1670860099700 1670860099700 250 513 600 970 0 0
siyi2 2 1 1670860099705 1670860099705 251 513 600 970 0 0
siyi2 2 1 1670860099711 1670860099710 252 513 600 970 0 0
siyi2 2 1 1670860099717 1670860099715 252 513 600 970 0 0
siyi2 2 1 1670860099722 1670860099720 252 513 590 970 0 0
siyi2 2 1 1670860099727 1670860099725 252 514 590 970 0 0
siyi2 2 1 1670860099733 1670860099730 252 514 590 970 0 0
siyi2 2 1 1670860099739 1670860099735 252 514 590 970 0 0
siyi2 2 1 1670860099745 1670860099745 252 515 580 960 0 0
siyi2 2 1 1670860099750 1670860099750 252 515 580 960 0 0
siyi2 2 1 1670860099755 1670860099755 252 515 580 960 0 0
siyi2 2 1 1670860099762 1670860099760 252 516 580 950 0 0
siyi2 2 1 1670860099767 1670860099765 252 516 570 950 0 0
siyi2 2 1 1670860099772 1670860099770 252 516 570 950 0 0
siyi2 2 1 1670860099777 1670860099775 252 517 570 950 0 0
siyi2 2 1 1670860099793 1670860099790 252 518 570 950 0 0
siyi2 2 1 1670860099794 1670860099790 252 519 570 950 0 0
siyi2 2 1 1670860099795 1670860099795 252 520 560 940 0 0
siyi2 2 1 1670860099800 1670860099800 252 521 560 940 0 0
