UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
weier2 1 1 1670861363031 1670861363030 96 674 750 970 0 0
weier2 1 1 1670861363037 1670861363035 96 675 760 940 0 0
weier2 1 1 1670861363043 1670861363040 96 675 760 940 0 0
weier2 1 1 1670861363048 1670861363045 96 675 760 940 0 0
weier2 1 1 1670861363054 1670861363050 96 675 770 940 0 0
weier2 1 1 1670861363060 1670861363060 96 675 770 940 0 0
weier2 1 1 1670861363065 1670861363065 96 675 770 940 0 0
weier2 1 1 1670861363070 1670861363070 97 675 770 940 0 0
weier2 1 1 1670861363076 1670861363075 97 675 770 940 0 0
weier2 1 1 1670861363082 1670861363080 97 675 770 940 0 0
weier2 1 1 1670861363087 1670861363085 97 675 760 940 0 0
weier2 1 1 1670861363093 1670861363090 97 676 760 940 0 0
weier2 1 1 1670861363098 1670861363095 97 676 760 940 0 0
weier2 1 1 1670861363104 1670861363100 97 676 760 940 0 0
weier2 1 1 1670861363110 1670861363110 97 676 760 940 0 0
weier2 1 1 1670861363115 1670861363115 97 676 750 940 0 0
weier2 1 1 1670861363120 1670861363120 97 676 750 940 0 0
weier2 1 1 1670861363126 1670861363125 97 677 740 930 0 0
weier2 1 1 1670861363132 1670861363130 97 677 740 930 0 0
weier2 1 1 1670861363137 1670861363135 97 677 730 930 0 0
weier2 1 1 1670861363143 1670861363140 97 677 730 930 0 0
weier2 1 1 1670861363148 1670861363145 97 677 730 930 0 0
weier2 1 1 1670861363155 1670861363155 96 677 720 930 0 0
weier2 1 1 1670861363160 1670861363160 96 677 720 930 0 0
weier2 1 1 1670861363165 1670861363165 96 677 720 930 0 0
weier2 1 1 1670861363170 1670861363170 95 677 720 930 0 0
weier2 1 1 1670861363176 1670861363175 95 677 710 960 0 0
weier2 1 1 1670861363182 1670861363180 95 676 710 960 0 0
weier2 1 1 1670861363187 1670861363185 95 676 710 960 0 0
weier2 1 1 1670861363193 1670861363190 94 676 710 960 0 0
weier2 1 1 1670861363198 1670861363195 94 675 700 950 0 0
weier2 1 1 1670861363204 1670861363200 94 674 700 950 0 0
weier2 1 1 1670861363210 1670861363210 94 673 700 950 0 0
weier2 1 1 1670861363215 1670861363215 94 671 700 950 0 0
weier2 1 1 1670861363220 1670861363220 93 670 700 930 0 0
weier2 1 1 1670861363226 1670861363225 93 669 700 930 0 0
weier2 1 1 1670861363232 1670861363230 93 668 700 930 0 0
weier2 1 1 1670861363237 1670861363235 93 667 700 930 0 0
weier2 1 1 1670861363243 1670861363240 93 666 690 950 0 0
weier2 1 1 1670861363248 1670861363245 93 666 690 950 0 0
weier2 1 1 1670861363254 1670861363250 93 665 690 950 0 0
weier2 1 1 1670861363260 1670861363260 93 664 690 950 0 0
weier2 1 1 1670861363265 1670861363265 93 663 690 950 0 0
weier2 1 1 1670861363270 1670861363270 93 662 690 950 0 0
weier2 1 1 1670861363276 1670861363275 93 662 690 950 0 0
weier2 1 1 1670861363282 1670861363280 93 661 690 950 0 0
weier2 1 1 1670861363287 1670861363285 93 660 690 950 0 0
